Subject,Cond,Int,State,Prob
2,I,L,A,0.08669833729216152
2,I,L,B,0.09370546318289787
2,I,L,C,0.14477434679334916
2,I,L,D,0.11983372921615201
2,I,L,E,0.12909738717339667
2,I,L,F,0.06413301662707839
2,I,L,G,0.14216152019002376
2,I,L,H,0.07173396674584323
2,I,L,I,0.14786223277909738
3,R,R,A,0.0902951475737869
3,R,R,B,0.10980490245122561
3,R,R,C,0.1277027402590184
3,R,R,D,0.1210049469179034
3,R,R,E,0.11458507031293425
3,R,R,F,0.10599744316602745
3,R,R,G,0.11202823634039241
3,R,R,H,0.11372352843088211
3,R,R,I,0.10485798454782946
3,C,H,A,0.08051386415670313
3,C,H,B,0.10340880183159501
3,C,H,C,0.11829051132027474
3,C,H,D,0.15148817094886796
3,C,H,E,0.1199440345967947
3,C,H,F,0.11053167133045026
3,C,H,G,0.09692190282370898
3,C,H,H,0.11180361231238871
3,C,H,I,0.10709743067921648
3,C,M,A,0.07670521595468492
3,C,M,B,0.0778852962001416
3,C,M,C,0.11021949492565494
3,C,M,D,0.13653528439933915
3,C,M,E,0.1299268350247817
3,C,M,F,0.11375973566202502
3,C,M,G,0.11411375973566203
3,C,M,H,0.1256785461411376
3,C,M,I,0.11517583195657305
3,C,L,A,0.07805496828752642
3,C,L,B,0.10363636363636364
3,C,L,C,0.11627906976744186
3,C,L,D,0.12887949260042283
3,C,L,E,0.12414376321353066
3,C,L,F,0.09830866807610994
3,C,L,G,0.1184355179704017
3,C,L,H,0.12232558139534884
3,C,L,I,0.10993657505285412
3,I,H,A,0.07747285291214215
3,I,H,B,0.08454096742349457
3,I,H,C,0.11257650542941758
3,I,H,D,0.1491411648568608
3,I,H,E,0.11605133267522211
3,I,H,F,0.12059230009871669
3,I,H,G,0.10471865745310957
3,I,H,H,0.12177690029615006
3,I,H,I,0.11312931885488647
3,I,M,A,0.07735975066785396
3,I,M,B,0.08882457702582369
3,I,M,C,0.1067453250222618
3,I,M,D,0.1221059661620659
3,I,M,E,0.1408058771148709
3,I,M,F,0.11119768477292966
3,I,M,G,0.09784060552092609
3,I,M,H,0.1218833481745325
